48⥌0.99⥌Exquisa Frischkäse⥌;versch. Sorten und Fettstufen, 175g - 200g⥌edeka
  ⥌1.49⥌Mini Rispentomaten⥌;aus den Niederlanden, Klasse I, 400g⥌edeka
  ⥌4.44⥌Kulturheidelbeeren⥌;aus Marokko oder Spanien, Klasse I, 500g⥌edeka
  ⥌2.69⥌An der Bedientheke: Emmi Kaltbach Käse*⥌;versch. Sorten, z.B. Der Cremig-Würzige, 56% Fett, 100g, *gültig nur für die gekennzeichneten Aktionsartikel in teilnehmenden Märkten mit Bedientheke und solange der Vorrat reicht. Sortimentsabweichungen in einzelnen Märkten möglich.⥌edeka
41⥌1.59⥌Arla Kærgården⥌;versch. Sorten, 200g⥌edeka
33⥌1.79⥌Bergader Bergbauern Käse, Heumilchkäse oder Bergkäse⥌;in Scheiben, versch. Sorten und Fettstufen, 130g - 150g⥌edeka
29⥌7.49⥌Dallmayr Prodomo⥌;versch. Sorten, gemahlener Bohnenkaffee, vakuumverpackt, 500g⥌edeka
34⥌2.49⥌Kölln Müsli⥌;versch. Sorten, 380g - 600g⥌edeka
58⥌0.79⥌Delverde Pasta⥌;versch. Sorten und Ausformungen, 500g⥌edeka
40⥌1.99⥌Erasco Eintopf⥌;versch. Sorten, 800g⥌edeka
43⥌1.99⥌Dr. Oetker Ristorante Pizza, Piccola oder Bistro Flammkuchen⥌;tiefgefroren, versch. Sorten, z.B. Ristorante Pizza Salame, 320g⥌edeka
25⥌2.99⥌Mini Schokoriegel⥌;versch. Sorten, z.B. Snickers, 227g⥌edeka
25⥌11.99⥌Coca-Cola Cola*** oder Limonade⥌;versch. Sorten, 12x 1l (zzgl. € 3,30 Pfand). *Einmalig gratis dazu mit der EDEKA App: 2x 1l Flasche Coca-Cola Cola* oder Limonade (zzgl. je € 0,25 Pfand)⥌edeka
  ⥌7.99⥌Bepflanzter Terrassentopf⥌;versch. Ausführungen, XL, Topf⥌edeka
40⥌1.77⥌GRÜNLÄNDER Scheiben⥌;mit App: je 156 g (1 kg = 11.35); ohne App: je 156 g (1 kg = 12.12)⥌penny
50⥌1.29⥌MEGGLE Feine Butter*⥌;je 250 g (1 kg = 5.16)⥌penny
33⥌5.99⥌JACOBS Kaffee*⥌;mit App: je 500 g (1 kg = 11.98); ohne App: je 500 g (1 kg = 12.98)⥌penny
26⥌1.99⥌Pink Lady Rote Äpfel⥌;je 1-kg-Schale⥌penny
  ⥌1.29⥌NATURGUT Bio-Zucchini⥌;mit App: je 500-g-Netz (1 kg = 2.58); ohne App: je 500-g-Netz (1 kg = 2.98)⥌penny
  ⥌1.49⥌Himbeeren*⥌;je 125-g-Schale (1 kg = 11.92)⥌penny
  ⥌1.00⥌NATURGUT Bio Erdbeeren*⥌;je 200-g-Schale (1 kg = 5.00)⥌penny
  ⥌1.69⥌Rote Paprika⥌;je 500 g (1 kg = 3.38)⥌penny
  ⥌1.79⥌Dunkle, kernlose Tafeltrauben⥌;je 500-g-Schale (1 kg = 3.58)⥌penny
28⥌0.85⥌Avocado angereift⥌;je Stück⥌penny
25⥌2.99⥌Grüner Spargel⥌;je 400-g-Bund (1 kg = 7.48)⥌penny
36⥌2.22⥌Deutsche Speisekartoffeln⥌;je 5-kg-Netz (1 kg = 0.44)⥌penny
62⥌0.33⥌EHRMANN Almighurt⥌;mit App: je 150 g (1 kg = 2.20); ohne App: je 150 g (1 kg = 2.60)⥌penny
47⥌0.99⥌MIREE Frischkäse⥌;mit App: je 150 g (1 kg = 6.60); ohne App: je 150 g (1 kg = 7.40)⥌penny
47⥌0.99⥌EXQUISA Frischkäsezubereitung*⥌;mit App: je 200 g (1 kg = 4.95); ohne App: je 200 g (1 kg = 5.55)⥌penny
51⥌1.11⥌RAMA Brotaufstrich⥌;je 400 g (1 kg = 2.78)⥌penny
  ⥌2.29⥌PHILADELPHIA Frischkäsezubereitung⥌;je 195 g (1 kg = 11.74)⥌penny
  ⥌1.59⥌LINDENHOF Frischkäse⥌;je 300 g (1 kg = 5.30)⥌penny
33⥌1.59⥌ARLA Finello Reibekäse High Protein*⥌;je 150 g (1 kg = 10.60)⥌penny
33⥌1.59⥌ARLA Finello Reibekäse*⥌;je 150 g (1 kg = 10.60)⥌penny
37⥌0.49⥌EHRMANN Obstgarten*⥌;je 125 g (1 kg = 3.92)⥌penny
  ⥌1.99⥌DR. OETKER Grieß oder High Protein Pudding*⥌;je 400 g (1 kg = 4.98)⥌penny
31⥌1.49⥌KINDER Choco fresh⥌;je 5 x 20,5 g (1 kg = 14.54)⥌penny
  ⥌1.99⥌GLÜCKSKLEE Sprühsahne*⥌;je 250 ml (1 l = 7.96)⥌penny
  ⥌1.69⥌STARBUCKS Protein Drink*⥌;je 330 ml (1 l = 5.12)⥌penny
34⥌2.22⥌STARBUCKS Grande Cup*⥌;je 330 ml (1 l = 6.73)⥌penny
  ⥌1.99⥌ALPRO Baristadrink*⥌;je 1 I⥌penny
  ⥌5.99⥌BERIDA Fish & Chips*⥌;je 1.000 g⥌penny
  ⥌2.99⥌STEINHAUS Elsässer Flammkuchen*⥌;je 350 g (1 kg = 8.54)⥌penny
  ⥌6.99⥌BEN & JERRY’S Eisbecher⥌;je 465 ml (1 l = 15.03)⥌penny
  ⥌2.79⥌RIOS American Eisbecher⥌;je 500 ml (1 l = 5.58)⥌penny
44⥌2.49⥌LANGNESE Magnum*⥌;mit App: je 270 ml (1 I = 9.22); ohne App: je 270 ml (1 I = 11.07)⥌penny
44⥌2.22⥌SCHÖLLER Eis*⥌;je 9 x 45 ml (1 l = 5.48)⥌penny
